Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.26,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.31,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.24,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.24,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.25,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.23,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.26,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.24,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.26,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.26,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.24,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.26,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.25,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.24,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.24,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.25,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.25,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.24,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.26,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.26,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.62,0.0
triplet,120,1000.0,40.0,43.0,47.0,3.0,7.0,0.64,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,0.64,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.62,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.62,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.63,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,0.61,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.66,0.0
triplet,120,1000.0,40.0,42.0,45.0,2.0,5.0,0.62,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.64,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,0.65,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,0.64,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.61,0.0
